areaName,Borough,areaType,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10
All Downtown,Manhattan,submarket,3650,3700,3695,3700,3785,3724,3728,3700,3655,3662,3675,3625,3650,3750,3735,3750,3837,3800,3795,3800,3825,3800,3853,3800,3800,3850,3800,3939,4000,4051,4000,3995,4000,4050,4050,4000,4000,3999,3995,3851,3700,3607,3500,3395,3295,3200,3139,3150,3150,3195,3200,3214,3350,3595,3800,4000,4195,4300,4362,4400,4500,4595,4595,4726,4800,4778,4800,4800,4875,4850,4795,4800,4850,4958,4800,4886,4950,4950,4900,4830,4850,4760
All Midtown,Manhattan,submarket,3470,3495,3465,3500,3500,3530,3500,3500,3500,3500,3350,3350,3378,3395,3390,3450,3500,3500,3500,3500,3500,3525,3500,3550,3500,3550,3536,3578,3625,3677,3700,3705,3700,3687,3718,3700,3700,3700,3695,3575,3387,3245,3100,3000,2975,2900,2895,2895,2900,2934,2995,3008,3166,3272,3496,3600,3850,3950,4095,4156,4315,4347,4308,4399,4400,4400,4455,4295,4350,4295,4272,4370,4389,4495,4495,4578,4500,4500,4495,4500,4495,4400
All Upper East Side,Manhattan,submarket,2995,2995,2925,2950,2950,2950,2950,2900,2995,2950,2995,2990,2900,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3050,2995,3000,3100,3225,3295,3281,3250,3250,3195,3065,2950,2800,2700,2650,2500,2495,2500,2450,2475,2400,2400,2475,2499,2550,2700,2850,2950,3200,3390,3450,3550,3400,3400,3500,3500,3550,3750,3750,3800,3845,3821,3900,4000,4000,3995,4000,4000,4000,3995,4000,3995
All Upper Manhattan,Manhattan,submarket,2350,2300,2296,2337,2350,2350,2395,2395,2354,2350,2261,2295,2275,2295,2308,2350,2383,2400,2449,2400,2350,2350,2300,2300,2300,2345,2375,2400,2450,2500,2500,2495,2450,2395,2350,2350,2393,2400,2450,2470,2445,2425,2400,2350,2295,2250,2211,2200,2200,2180,2192,2200,2250,2295,2300,2300,2300,2300,2300,2350,2399,2400,2429,2500,2550,2700,2795,2750,2700,2700,2659,2600,2650,2699,2725,2800,2832,2950,2900,2900,2895,2800
All Upper West Side,Manhattan,submarket,3297,3300,3250,3290,3300,3350,3350,3373,3350,3380,3306,3330,3350,3285,3250,3285,3300,3350,3320,3313,3395,3394,3350,3395,3395,3350,3395,3450,3460,3450,3400,3500,3600,3600,3630,3550,3600,3551,3500,3400,3295,3200,3150,3000,2925,2810,2800,2809,2800,2850,2800,2850,3000,3000,3200,3295,3550,3641,3800,3950,3995,4000,4092,4236,4244,4200,4400,4435,4500,4500,4500,4450,4450,4445,4495,4500,4463,4400,4500,4500,4500,4495
Astoria,Queens,neighborhood,2250,2200,2200,2200,2200,2250,2300,2300,2250,2193,2200,2195,2150,2123,2100,2100,2200,2200,2246,2250,2250,2200,2175,2150,2199,2200,2200,2200,2268,2300,2350,2350,2350,2350,2300,2300,2333,2395,2300,2300,2280,2250,2200,2167,2100,2000,2000,1995,1950,1950,1925,1950,1999,2000,2100,2200,2200,2200,2200,2250,2260,2300,2350,2395,2500,2617,2650,2700,2795,2695,2600,2600,2695,2695,2750,2750,2750,2800,2878,2899,2850,2850
Auburndale,Queens,neighborhood,1995,2195,2195,2295,2095,2195,2048,1895,1995,1495,1795,2325,2300,2300,2300,2200,2095,2098,2095,2095,2048,1995,1995,1948,2045,2045,1995,1998,1998,1900,1650,2198,2100,2100,2177,1900,1895,2000,1998,,1998,1995,1823,2000,2095,2073,2000,2152,2212,2100,2195,2000,2000,2195,2125,,2615,2407,,,,,2500,2400,2500,2557,2514,2600,,2400,,,2450,2700,2100,2050,2275,2275,2495,2937,2887,2887
Bath Beach,Brooklyn,neighborhood,2100,1950,1850,1950,1950,2000,1975,1950,1850,1898,2000,1848,1875,1950,2000,2023,2000,1850,1700,1675,1675,1750,1725,1675,1700,1575,1695,1675,1695,1750,1799,1795,1795,1850,1795,1795,1795,1900,2025,,1875,1800,1900,2075,1795,1700,1785,1695,1698,1750,1799,1750,1733,1799,1700,1750,1699,1699,1750,1750,1750,1675,1850,1850,1850,1795,1800,1860,2075,1994,1725,1700,1750,1960,1982,2150,2300,1900,1975,2250,2325,2249
Battery Park City,Manhattan,neighborhood,4175,3995,3910,3995,4350,4393,4515,4375,4485,4685,3890,3950,4150,4078,4050,4275,4648,4520,4650,4854,4993,4854,4500,4365,4415,4495,4300,4450,4950,5125,5190,4750,4675,4895,5250,4985,4431,4190,4200,4295,4500,4500,4275,4229,4190,3995,3750,3840,3800,3950,3995,4000,3995,4140,4300,4520,4400,4253,4660,5260,5044,5100,4758,4740,5080,5250,5613,5600,5300,5313,5048,5325,5400,5650,5425,5475,5750,5523,5997,6000,5845,5995
Bay Ridge,Brooklyn,neighborhood,2000,2000,1950,1975,2000,2000,2000,1895,1895,1900,1825,1850,2000,1995,1900,1963,1950,1975,1850,1999,2000,2000,1995,1900,1900,2000,2000,1995,1950,1900,1900,1950,1895,1900,2000,1950,1900,2000,2100,2066,1999,2000,2000,1950,1950,1850,1800,1775,1750,1750,1800,1750,1750,1750,1750,1800,1795,1775,1800,1775,1850,1900,1913,2000,2150,2275,2175,2350,2300,2200,2100,2200,2350,2312,2200,2150,2200,2300,2300,2400,2500,2400
