RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
102001,0,United States,country,,213333,211667,212000,215667,221333,228000,231667,232667,229333,226667,225000,225000,225000,225333,227667,231167,235833,240833,243333,243300,239267,235600,233633,232683,232017,230683,233300,238300,245300,251667,255000,255333,252311,250611,249911,249933,248967,249000,252300,256633,258300,260333,266333,274667,280333,282667,284333,285000,283333,283333,288295,298295,308295,316667,321667,324000,322333,321381,322381,324048,323333,325000,331967,345267,356933,363300,360000,353333,345000,339692,333025,326358,321667,323252,329918,339918,350000,358667,362667,362667
394913,1,"New York, NY",msa,NY,375000,373333,373333,374333,380667,394000,406333,414400,409400,397733,389167,385500,387167,384667,388317,389983,396650,405000,415000,421667,415967,405967,399050,394750,393083,391667,391333,393000,395667,407667,417667,425000,420000,414000,408333,408333,411000,411667,413333,416667,421667,428333,433000,441333,448667,455667,462333,465000,468000,468167,469833,475167,481667,496667,510000,521667,523000,518000,511333,507000,507000,508000,511000,521000,535000,551667,562800,567800,559467,543333,528333,518333,516667,511667,513333,519667,539667,563000,583333,598333
753899,2,"Los Angeles, CA",msa,CA,551167,550417,557583,568083,582167,592167,600000,601667,601667,596667,598333,597667,597667,601000,608333,620000,628333,637667,642667,642667,635000,630000,625667,620667,612667,608667,615333,628333,636667,642667,649333,649333,648333,642417,642417,644083,646333,649667,656333,658333,658333,660000,677500,700833,719167,726667,728333,725000,721667,729000,745667,772333,795000,813333,820000,823333,822000,823667,823667,830000,831667,841667,860000,890833,911833,913500,897667,880000,863333,851667,840000,826667,818333,816667,827000,838667,853000,872667,887667,898333
394463,3,"Chicago, IL",msa,IL,204750,203667,208667,218167,229500,237500,238333,235833,227833,220833,216667,215000,215333,217500,222500,230500,237000,243667,243667,240000,231667,225000,222500,219500,218500,218333,224500,232167,239833,245000,246667,245000,238300,232967,229600,227967,225800,224167,231833,243000,251000,252333,255083,261750,264417,263000,258333,255833,252500,250833,256667,267333,280667,289000,291000,288333,281667,276500,274133,272467,270300,268667,273333,285833,298500,310500,310667,306333,294667,285000,278333,273333,270000,269000,275667,287333,300000,312017,318583,321917
394514,4,"Dallas, TX",msa,TX,225563,226813,230480,237750,244667,249333,250667,250333,246333,243333,240600,242267,240600,243317,247650,255950,262300,267133,268833,265800,258300,253267,249633,250300,247000,247300,249967,257633,266000,271000,273333,271667,267333,265000,261642,262642,261642,263333,266000,272667,275000,279000,284000,291667,295000,296633,297300,297633,294173,298506,306506,320000,333333,345000,353333,353377,351710,350710,352333,355667,356820,362153,371370,391450,409450,420233,418333,409667,398833,390500,382500,373333,363333,362333,367233,377233,384900,395000,400000,400000
394692,5,"Houston, TX",msa,TX,202583,200917,202750,209000,216333,220333,221667,220983,218483,215817,212500,210000,207667,208667,212000,220333,226000,230000,230750,229083,224750,221300,219100,219580,216947,216813,219333,226250,233583,238500,239922,238588,234338,230333,226983,228983,228067,229417,229917,235500,237167,241333,249167,257167,258800,256967,257800,260833,259500,262000,269000,281317,291650,299317,302667,302667,297667,296417,298083,303083,304000,307633,310967,322967,332667,342333,343583,336917,329583,321000,316000,310667,306300,305300,307300,314000,321667,328333,333333,333333
395209,6,"Washington, DC",msa,VA,356667,353333,355000,368300,384963,397630,399330,394333,381333,371333,368000,371667,371000,369333,374300,387633,400967,409333,408333,404667,391333,384667,378333,382500,380833,380083,382083,393930,406346,416021,417508,414175,401667,396333,394667,399667,394967,394966,403300,420000,431650,434650,440567,445550,447547,443297,438330,435000,427815,422815,429481,447500,470667,485667,489833,483333,471667,466333,463000,461333,450000,448724,463433,495099,523042,533333,527000,513667,495333,486500,478167,472167,460167,461833,474600,501433,524767,543000,546667,539967
394974,7,"Philadelphia, PA",msa,PA,212750,207739,206956,213589,223933,234967,240667,241333,233000,225667,221667,221333,219633,216300,217300,220667,228333,236333,243000,245333,240000,233300,229300,226633,225000,221667,224242,229242,237575,247333,255667,259982,252648,245148,240833,240800,241300,237967,241333,251000,258500,263500,267500,275833,279833,276500,273158,270825,269158,265000,264667,269633,278846,292513,302546,310000,303917,296917,290883,288633,286633,281000,282667,290667,307333,325000,334333,336000,328333,321300,316300,312633,308000,303000,305000,311000,322667,337667,351633,358300
394856,8,"Miami, FL",msa,FL,241783,241817,243150,246333,252333,260000,263500,265833,260333,256833,254167,256667,258333,258333,259000,262333,266667,271667,273333,273333,269417,269417,270417,271000,268667,266667,269333,273667,278000,282000,286333,288000,285333,284833,285800,286800,285133,285833,290833,298333,303333,306667,311667,318333,321667,323333,323333,325667,327333,330667,333333,340000,345000,353333,356667,359667,358000,358000,360950,367617,372617,379167,387500,395833,408333,418300,423800,420467,413833,413333,411667,408333,408333,413333,425000,436000,446000,455833,459167,459833
394347,9,"Atlanta, GA",msa,GA,188333,188033,191700,199657,206992,212992,215368,215000,210667,207667,206625,208958,209592,212300,216600,223967,231467,236167,236500,232333,228667,226333,225333,224000,222000,221967,226300,232967,242333,248333,252000,250000,245667,241967,241300,242300,241000,242333,247000,256667,259000,260667,263967,271633,275300,276667,276667,276750,275417,278083,286333,299217,312217,323600,330717,331383,329350,330350,335350,339333,338333,340000,346217,359550,374550,385000,387667,381000,371000,361833,355167,351333,344500,344100,347900,359233,367967,378000,383333,385000
